run_name,use_case,split,model_variant,score,f1,ece,notes
baseline_region_shift,Domain-inspired synthetic agricultural benchmark,Region transfer,baseline,0.6562,0.5506,0.2566,Image-only baseline trained on domain-inspired synthetic crop observations
baseline_year_shift,Domain-inspired synthetic agricultural benchmark,Year transfer,baseline,0.7375,0.7278,0.2383,Image-only baseline trained on domain-inspired synthetic crop observations
baseline_climate_stress,Domain-inspired synthetic agricultural benchmark,Climate-stress transfer,baseline,0.7156,0.7223,0.2934,Image-only baseline trained on domain-inspired synthetic crop observations
baseline_sensor_shift,Domain-inspired synthetic agricultural benchmark,Sensor transfer,baseline,0.4969,0.4945,0.3149,Image-only baseline trained on domain-inspired synthetic crop observations
baseline_missing_modality,Domain-inspired synthetic agricultural benchmark,Missing modality,baseline,0.7094,0.7156,0.2236,Image-only baseline trained on domain-inspired synthetic crop observations
multimodal_ssl_region_shift,Domain-inspired synthetic agricultural benchmark,Region transfer,multimodal_ssl,1.0,1.0,0.0039,"Multimodal fusion model trained on synthetic image, weather, geo, management, and text features"
multimodal_ssl_year_shift,Domain-inspired synthetic agricultural benchmark,Year transfer,multimodal_ssl,1.0,1.0,0.0072,"Multimodal fusion model trained on synthetic image, weather, geo, management, and text features"
multimodal_ssl_climate_stress,Domain-inspired synthetic agricultural benchmark,Climate-stress transfer,multimodal_ssl,1.0,1.0,0.005,"Multimodal fusion model trained on synthetic image, weather, geo, management, and text features"
multimodal_ssl_sensor_shift,Domain-inspired synthetic agricultural benchmark,Sensor transfer,multimodal_ssl,1.0,1.0,0.0034,"Multimodal fusion model trained on synthetic image, weather, geo, management, and text features"
multimodal_ssl_missing_modality,Domain-inspired synthetic agricultural benchmark,Missing modality,multimodal_ssl,0.35,0.1728,0.625,"Multimodal fusion model trained on synthetic image, weather, geo, management, and text features"
physics_aware_fm_region_shift,Domain-inspired synthetic agricultural benchmark,Region transfer,physics_aware_fm,1.0,1.0,0.0058,Physics-aware multimodal model with auxiliary scientific-consistency target on synthetic agronomic signals; physics_mae=0.132
physics_aware_fm_year_shift,Domain-inspired synthetic agricultural benchmark,Year transfer,physics_aware_fm,1.0,1.0,0.0063,Physics-aware multimodal model with auxiliary scientific-consistency target on synthetic agronomic signals; physics_mae=0.131
physics_aware_fm_climate_stress,Domain-inspired synthetic agricultural benchmark,Climate-stress transfer,physics_aware_fm,1.0,1.0,0.0073,Physics-aware multimodal model with auxiliary scientific-consistency target on synthetic agronomic signals; physics_mae=0.355
physics_aware_fm_sensor_shift,Domain-inspired synthetic agricultural benchmark,Sensor transfer,physics_aware_fm,1.0,1.0,0.0053,Physics-aware multimodal model with auxiliary scientific-consistency target on synthetic agronomic signals; physics_mae=0.134
physics_aware_fm_missing_modality,Domain-inspired synthetic agricultural benchmark,Missing modality,physics_aware_fm,0.35,0.1728,0.5793,Physics-aware multimodal model with auxiliary scientific-consistency target on synthetic agronomic signals; physics_mae=0.141
